manual_name,url,active
GACAR Part 1 - Definitions - Abbreviations and Editorial Conventions,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_1.pdf,yes
GACAR Part 2 - Units of Measurement to be Used in Air and Ground Operations,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_2.pdf,yes
GACAR Part 3 - False and Misleading Statements,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_3.pdf,yes
GACAR Part 4 - Occurrence Reporting and Safety Information System,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_4.pdf,yes
GACAR Part 5 - Safety Management Systems,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_5.pdf,yes
GACAR Part 7 - Problematic Use of Psychoactive Substances; Prevention and Safety Programs,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_7.pdf,yes
GACAR Part 9 - Aircraft Under an Agreement for Transfer of Functions and Duties in Accordance with Article 83 bis of the Convention on International Civil Aviation,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_9.pdf,yes
GACAR Part 11 - General Rulemaking Procedures,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_11.pdf,yes
GACAR Part 13 - Compliance Enforcement Procedures - Petitions for Reconsideration - and Appeals,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_13.pdf,yes
GACAR Part 21 - Certification Procedures for Products and Articles,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_21.pdf,yes
GACAR Part 23 - Airworthiness Standards: Normal - Utility - Acrobatic - and Commuter Category Airplanes,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_23.pdf,yes
GACAR Part 25 - Airworthiness Standards: Transport Category Airplanes,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_25.pdf,yes
GACAR Part 26 - Continued Airworthiness and Safety Improvements for Transport Category Airplanes,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_26.pdf,yes
GACAR Part 27 - Airworthiness Standards: Normal Category Rotorcraft,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_27.pdf,yes
GACAR Part 29 - Airworthiness Standards: Transport Category Rotorcraft,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_29.pdf,yes
GACAR Part 31 - Airworthiness Standards: Manned Free Balloons,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_31.pdf,yes
GACAR Part 33 - Airworthiness Standards: Aircraft Engines,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_33.pdf,yes
GACAR Part 34 - Fuel Venting and Exhaust Emission Requirements for Turbine Engine Powered Airplanes,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_34.pdf,yes
GACAR Part 35 - Airworthiness Standards: Propellers,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_35.pdf,yes
GACAR Part 36 - Noise Standards: Aircraft Type and Airworthiness Certification,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_36.pdf,yes
GACAR Part 39 - Airworthiness Directives,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_39.pdf,yes
GACAR Part 43 - Maintenance - Preventive Maintenance - Rebuilding - and Alteration,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_43.pdf,yes
GACAR Part 45 - Identification and Registration Marking,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_45.pdf,yes
GACAR Part 47 - Aircraft Registration,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_47.pdf,yes
GACAR Part 48 - Registration and Marking Requirements for Model Aircraft and Small Unmanned Aircraft,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_48.pdf,yes
GACAR Part 60 - Flight Simulation Training Devices and Aviation Training Devices,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_60.pdf,yes
GACAR Part 61 - Certification: Pilots - Flight Instructors - Ground Instructors - and Flight Engineers,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_61.pdf,yes
GACAR Part 64 - Air Traffic Services Personnel Licensing and Ratings,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_64.pdf,yes
GACAR Part 65 - Certification: Aircraft Dispatchers and Cabin Crew Members,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_65.pdf,yes
GACAR Part 66 - Certification: Mechanics and Repairmen,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_66.pdf,yes
GACAR Part 67 - Medical Standards and Certification,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_67.pdf,yes
GACAR Part 68 - Ground Services Personnel Work Permit,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_68.pdf,yes
GACAR Part 71 - Designated Airspace - Routes - Points and Minimum Altitudes,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_71.pdf,yes
GACAR Part 77 - Safe - Efficient Use and Preservation of the Navigable Airspace,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_77.pdf,yes
GACAR Part 91 - General Operating and Flight Rules,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_91.pdf,yes
GACAR Part 93 - Special Air Traffic Rules,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_93.pdf,yes
GACAR Part 97 - Instrument Flight Procedures,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_97.pdf,yes
GACAR Part 99 - Security Control of Air Traffic,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_99.pdf,yes
GACAR Part 101 - Unmanned Balloons - Kites - Amateur Rockets - Model Aircraft - and Unmanned Aircraft Systems,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_101.pdf,yes
GACAR Part 103 - Ultralight Vehicles,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_103.pdf,yes
GACAR Part 105 - Parachute Operations,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_105.pdf,yes
GACAR Part 107 - Non-recreational Civil Small Unmanned Aircraft Systems,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_107.pdf,yes
GACAR Part 109 - Transportation of Dangerous Goods by Air,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_109.pdf,yes
GACAR Part 117 - Flight and Duty Limitations and Rest Requirements: Flight Crew Members,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_117.pdf,yes
GACAR Part 119 - Certification: Saudi Arabian Commercial and Noncommercial Operations,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_119.pdf,yes
GACAR Part 121 - Operations: Commercial Air Operators Operating Transport Category Aircraft or Commuter Category Airplanes,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_121.pdf,yes
GACAR Part 125 - Operations: Noncommercial Operators Using Turbojets - Transport Category Aircraft - or Commuter Category Airplanes,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_125.pdf,yes
GACAR Part 129 - Operations: Foreign Air Carriers,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_129.pdf,yes
GACAR Part 133 - Aerial Work Operations,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_133.pdf,yes
GACAR Part 135 - Operations: Commercial Air Operators Operating Other Than Transport Category Aircraft or Commuter Category Airplanes,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_135.pdf,yes
GACAR Part 137 - Certification Authorization and Operation of Water Aerodromes,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_137.pdf,yes
GACAR Part 138 - Certification - Authorization and Operation of Heliports,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_138.pdf,yes
GACAR Part 139 - Certification and Operations of Aerodromes,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_139.pdf,yes
GACAR Part 141 - Pilot Schools,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_141.pdf,yes
GACAR Part 142 - Training Centers,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_142.pdf,yes
GACAR Part 143 - Flight Engineer - Cabin Crew Member - and Aircraft Dispatcher Training Schools,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_143.pdf,yes
GACAR Part 144 - Air Traffic Controller Schools,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_144.pdf,yes
GACAR Part 145 - Repair Stations,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_145.pdf,yes
GACAR Part 147 - Aviation Maintenance Technician Schools,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_147.pdf,yes
GACAR Part 149 - Aviation Clubs,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_149.pdf,yes
GACAR Part 151 - Ground Service Providers,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_151.pdf,yes
GACAR Part 156 - Environmental Sustainability Regulations,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_156.pdf,yes
GACAR Part 157 - Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA),https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_157.pdf,yes
GACAR Part 170 - Certification: Air Navigation Service Providers,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_170.pdf,yes
GACAR Part 171 - Air Traffic Services,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_171.pdf,yes
GACAR Part 172 - Instrument Flight Procedure Services,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_172.pdf,yes
GACAR Part 173 - Aeronautical Telecommunication Services,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_173.pdf,yes
GACAR Part 175 - Aeronautical Information Services & Aeronautical Charts,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_175.pdf,yes
GACAR Part 177 - Search and Rescue Services,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_177.pdf,yes
GACAR Part 179 - Meteorology Services for Air Navigation,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_179.pdf,yes
GACAR Part 183 - Representatives of the President,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_183.pdf,yes
GACAR Part 193 - Protection of Submitted Safety Data and Safety Information,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_193.pdf,yes
GACAR Part 199 - Repeals - Coming into Force - and Transitional Provisions,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/GACAR-Safety-Regulations/GACARS/Part_199.pdf,yes
E-Book Volume 1 - General Guidance and Information,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/E-Book/VOLUME_1.pdf,yes
E-Book Volume 2 - Safety Management Systems - General,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/E-Book/VOLUME2SAFETYMANAGEMENTSYSTEMSGENERALv16.pdf,yes
E-Book Volume 3 - Air Operator & Air Agency - Certification,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/E-Book/VOLUME_3.pdf,yes
E-Book Volume 4 - Air Operator & Air Agency - Administration,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/E-Book/VOLUME4AIROPERATORampAIRAGENCYADMINISTRATIONv11.pdf,yes
E-Book Volume 8 - Air Navigation Services - Certification and Administration,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/E-Book/VOLUME8AIRNAVIGATIONSERVICESCERTIFICATIONADMINISTRATIONv8.pdf,yes
E-Book Volume 9 - Airmen - Certification,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/E-Book/VOLUME9AIRMENCERTIFICATIONv17.pdf,yes
E-Book Volume 12 - Surveillance,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/E-Book/VOLUME-12-SURVEILLANCE.pdf,yes
E-Book Volume 13 - Compliance Enforcement & Resolution of Identified Safety Deficiencies,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/E-Book/VOLUME-13-COMPLIANCE-ENFORCEMENT-RESOLUTION-OF-IDENTIFIED-SAFETY-DEFICIENCIES.pdf,yes
E-Book Volume 14 - Designees - Appointment & Management,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/E-Book/VOLUME-14-DESIGNEES-APPOINTMENT-and-MANAGEMENT.pdf,yes
E-Book Volume 15 - Authorizing Documents,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/E-Book/VOLUME-15-AUTHORIZING-DOCUMENTS.pdf,yes
E-Book Volume 16 - Ground Services,https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/E-Book/VOLUME_16.pdf,yes
E-Book Volume 17 - Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA),https://gaca.gov.sa/-/media/Files/PDF/LawsAndRegulation/Aviation-Safety-and-Environmental-Sustainability/E-Book/VOLUME-17CARBON-OFFSETTING-AND-REDUCTION-SCHEME-FOR-INTERNATIONAL-AVIATION-CORSIA.pdf,yes
